"tier","id","wallet","name","tierV2","badges","streaming","portal_link"
"Diamond","92364","0xb2d77fe350edd06f23f48cc29b2432bc94d49d56","TrieuTiger","13","32","no","https://portal.abs.xyz/profile/0xb2d77fe350edd06f23f48cc29b2432bc94d49d56"
"Diamond","93744","0x33d893d2b910efabada37015efb7ebeddff44e07","3343","15","39","yes","https://portal.abs.xyz/profile/0x33d893d2b910efabada37015efb7ebeddff44e07"
"Diamond","101446","0xe1a8d2f301c7df6a1c12460a7b61037c00475792","Guigne","14","37","yes","https://portal.abs.xyz/profile/0xe1a8d2f301c7df6a1c12460a7b61037c00475792"
"Diamond","103793","0xe4c92dfd2b82ff488ee4e0744e78959f8cc2c24c","Jonh","13","41","no","https://portal.abs.xyz/profile/0xe4c92dfd2b82ff488ee4e0744e78959f8cc2c24c"
"Diamond","106352","0xcf6a641c04dc513743eb415581e142997729cbde","EthBurakEth","14","39","yes","https://portal.abs.xyz/profile/0xcf6a641c04dc513743eb415581e142997729cbde"
"Diamond","110971","0x90e0ee4ebef8b1aa7295efaf8194c0f085158ceb","0x90e0ee4ebef8b1aa7295efaf8194c0f085158ceb","13","25","yes","https://portal.abs.xyz/profile/0x90e0ee4ebef8b1aa7295efaf8194c0f085158ceb"
"Diamond","124480","0x04f567f2d3b293fd86a235b12648a3804f8147e1","guccii","13","40","yes","https://portal.abs.xyz/profile/0x04f567f2d3b293fd86a235b12648a3804f8147e1"
"Diamond","128594","0x1ae6b0937c3bb452cab89b8f984a335f41d0ec37","captainobvious","13","23","no","https://portal.abs.xyz/profile/0x1ae6b0937c3bb452cab89b8f984a335f41d0ec37"
"Diamond","131281","0x5f3e5f2532cbc7ace86b05ac5a8eddec09f44ff4","UkrBot","13","30","no","https://portal.abs.xyz/profile/0x5f3e5f2532cbc7ace86b05ac5a8eddec09f44ff4"
"Diamond","137085","0xb5748a472adfa371244cdc5a0a13189410cf8097","AziNo","13","44","yes","https://portal.abs.xyz/profile/0xb5748a472adfa371244cdc5a0a13189410cf8097"
"Diamond","144688","0x3dc88b8884153ddfb76d177f9bb8d1b5bf377917","girlonabstract","14","38","yes","https://portal.abs.xyz/profile/0x3dc88b8884153ddfb76d177f9bb8d1b5bf377917"
"Diamond","173169","0xec753a52496b5bd36a7bec9e6631ae94a867786d","KanaArima","13","11","yes","https://portal.abs.xyz/profile/0xec753a52496b5bd36a7bec9e6631ae94a867786d"
"Diamond","176951","0xb0654f3ce4753c908a853d68a062d8a33bcb8fb8","leonx","13","15","yes","https://portal.abs.xyz/profile/0xb0654f3ce4753c908a853d68a062d8a33bcb8fb8"
"Diamond","184813","0xe89509a4c5412ad68aa8e0dfbad5b81a6154f924","Pablomaque","13","38","yes","https://portal.abs.xyz/profile/0xe89509a4c5412ad68aa8e0dfbad5b81a6154f924"
"Diamond","197071","0x414bb44850b3b428b283235091917cb254305954","rosty","13","42","yes","https://portal.abs.xyz/profile/0x414bb44850b3b428b283235091917cb254305954"
"Diamond","206894","0x8045784a3a7209a24eb09a5a2bc4f9e6fb67782b","KangBokSoon","13","41","yes","https://portal.abs.xyz/profile/0x8045784a3a7209a24eb09a5a2bc4f9e6fb67782b"
"Diamond","224119","0x0532e2bf1c162cd5c371db5b229bcded1816f399","TRUMPBIG","13","26","yes","https://portal.abs.xyz/profile/0x0532e2bf1c162cd5c371db5b229bcded1816f399"
"Diamond","225649","0xa0ed173df43f23902a6be2710b823359211151b1","Thank4762","13","35","yes","https://portal.abs.xyz/profile/0xa0ed173df43f23902a6be2710b823359211151b1"
"Diamond","226160","0x917c1aae361c00520d5afea7277338bbb7edd68c","dosaklon","14","33","yes","https://portal.abs.xyz/profile/0x917c1aae361c00520d5afea7277338bbb7edd68c"
"Diamond","237537","0xaeac3186758f3f1a0f4c69ee5b6fb7e4e143afac","PlayMaker","14","24","yes","https://portal.abs.xyz/profile/0xaeac3186758f3f1a0f4c69ee5b6fb7e4e143afac"
"Diamond","251744","0x6052354efe95df428da38efa36be764d3eea6bdb","Massine","13","34","yes","https://portal.abs.xyz/profile/0x6052354efe95df428da38efa36be764d3eea6bdb"
"Diamond","271098","0xbff1df04ed51aa3d4259d0b7cc882ba071bafa1f","ANONS","13","20","yes","https://portal.abs.xyz/profile/0xbff1df04ed51aa3d4259d0b7cc882ba071bafa1f"
"Diamond","280220","0xe472b3db47fd9864d64ed5fb4037880a11634950","JeffT","15","40","yes","https://portal.abs.xyz/profile/0xe472b3db47fd9864d64ed5fb4037880a11634950"
"Diamond","293370","0x8167e4df2177dcd06d9d0261f759fdacf7cdce40","HappyTV","13","18","yes","https://portal.abs.xyz/profile/0x8167e4df2177dcd06d9d0261f759fdacf7cdce40"
"Diamond","321691","0xdbcc080ad58e850b24d3fd75fac1adf5de9d47fc","jiko","13","5","yes","https://portal.abs.xyz/profile/0xdbcc080ad58e850b24d3fd75fac1adf5de9d47fc"
"Diamond","350315","0xd67eb6b6254b48acd89ea84b5d51afc68b7378c1","lancelot","13","23","no","https://portal.abs.xyz/profile/0xd67eb6b6254b48acd89ea84b5d51afc68b7378c1"
"Diamond","360853","0x991b87ec4fe400178c3f54ea26ae445c2351e1ec","Cyro","13","37","yes","https://portal.abs.xyz/profile/0x991b87ec4fe400178c3f54ea26ae445c2351e1ec"
"Diamond","380614","0x439a339d6c89163af57834b26e1e40f29e65a188","DreadPiratesRob","13","9","yes","https://portal.abs.xyz/profile/0x439a339d6c89163af57834b26e1e40f29e65a188"
"Diamond","393386","0xeed7c6b2af48249a040c9e5d59437670889c7e07","lilwassie","15","37","yes","https://portal.abs.xyz/profile/0xeed7c6b2af48249a040c9e5d59437670889c7e07"
"Diamond","423581","0x633a05cc1ee8deb99caa0f6f143c1662796beed0","gigaz","13","9","no","https://portal.abs.xyz/profile/0x633a05cc1ee8deb99caa0f6f143c1662796beed0"
"Diamond","428275","0xd678b718f70389dbdd2d447df23333641e8f7480","yanik","14","21","no","https://portal.abs.xyz/profile/0xd678b718f70389dbdd2d447df23333641e8f7480"
"Diamond","663008","0x182a53c2492ad2576fa7a5c33cee0062ecf5a50e","FHMRemy","13","10","yes","https://portal.abs.xyz/profile/0x182a53c2492ad2576fa7a5c33cee0062ecf5a50e"
"Diamond","921087","0xc2b5252581849d437c0f4d67d6392617fc93037a","onlinelink","13","38","yes","https://portal.abs.xyz/profile/0xc2b5252581849d437c0f4d67d6392617fc93037a"
"Diamond","959388","0xb0d90d52c7389824d4b22c06bcdccd734e3162b7","ezsnipe","13","26","no","https://portal.abs.xyz/profile/0xb0d90d52c7389824d4b22c06bcdccd734e3162b7"
"Diamond","962497","0xde26e9c780d85ae165ac7ca579c50bd42bcb4fe6","Graildoteth","13","5","no","https://portal.abs.xyz/profile/0xde26e9c780d85ae165ac7ca579c50bd42bcb4fe6"
"Diamond","1084438","0x90c1ed16e9b16db7d031f573d20bead430feb107","Jablko","13","27","yes","https://portal.abs.xyz/profile/0x90c1ed16e9b16db7d031f573d20bead430feb107"
"Diamond","1112537","0xda2ca34d57242cbe18f3046925645668b9e60292","CRYPT0BRO","13","33","yes","https://portal.abs.xyz/profile/0xda2ca34d57242cbe18f3046925645668b9e60292"
"Diamond","1122165","0x7390022cbff03b8501084ca8fa72cdb932a415d6","blairbear","13","24","yes","https://portal.abs.xyz/profile/0x7390022cbff03b8501084ca8fa72cdb932a415d6"
"Diamond","1152680","0x1f7afac6014f37897e4af75c959bea15bce9caf9","BlockCap","13","18","yes","https://portal.abs.xyz/profile/0x1f7afac6014f37897e4af75c959bea15bce9caf9"
"Diamond","1159617","0x8740085f7f36925743bfb68715aadd626f452e82","Fairbanks","13","20","yes","https://portal.abs.xyz/profile/0x8740085f7f36925743bfb68715aadd626f452e82"
"Diamond","1218096","0x5faff9354a1a98005faf78d7ee98f7a0098c5534","SleepWin","13","17","no","https://portal.abs.xyz/profile/0x5faff9354a1a98005faf78d7ee98f7a0098c5534"
"Diamond","1235087","0x5f299c00e439765a6f12a97f160ec9b3a9a78a30","WarrenNakamoto","14","24","no","https://portal.abs.xyz/profile/0x5f299c00e439765a6f12a97f160ec9b3a9a78a30"
