"tier","id","wallet","name","tierV2","badges","streaming","portal_link"
"Gold","1841326","0xa8a9e8d65c2b46486dd2b952b1d0da767a6d61ac","0xa8a9e8d65c2b46486dd2b952b1d0da767a6d61ac","7","6","yes","https://portal.abs.xyz/profile/0xa8a9e8d65c2b46486dd2b952b1d0da767a6d61ac"
"Gold","1841328","0x083e805656271e334235c37ddf9b75d10003daac","0x083e805656271e334235c37ddf9b75d10003daac","7","5","no","https://portal.abs.xyz/profile/0x083e805656271e334235c37ddf9b75d10003daac"
"Gold","1841329","0xcb2540111064ff793a392edbff04eec7efdb03ad","0xcb2540111064ff793a392edbff04eec7efdb03ad","7","5","no","https://portal.abs.xyz/profile/0xcb2540111064ff793a392edbff04eec7efdb03ad"
"Gold","1841331","0xe1ac31ad53fbb7c08d6ed6485b55d0573634dd07","0xe1ac31ad53fbb7c08d6ed6485b55d0573634dd07","7","5","no","https://portal.abs.xyz/profile/0xe1ac31ad53fbb7c08d6ed6485b55d0573634dd07"
"Gold","1841339","0x34990377e5b737963eddd9e310794aed1bbc41b1","0x34990377e5b737963eddd9e310794aed1bbc41b1","7","5","no","https://portal.abs.xyz/profile/0x34990377e5b737963eddd9e310794aed1bbc41b1"
"Gold","1841350","0x81930a0fdb3b23cad4c6dc7ace4d32743874b62c","0x81930a0fdb3b23cad4c6dc7ace4d32743874b62c","7","7","no","https://portal.abs.xyz/profile/0x81930a0fdb3b23cad4c6dc7ace4d32743874b62c"
"Gold","1841382","0x9023c040892db3beeb82fc65228c7a7ef44593d6","0x9023c040892db3beeb82fc65228c7a7ef44593d6","7","7","no","https://portal.abs.xyz/profile/0x9023c040892db3beeb82fc65228c7a7ef44593d6"
"Gold","1841386","0x708fb08773ecca4bda4c9a9eb7519b5329a1d8f6","0x708fb08773ecca4bda4c9a9eb7519b5329a1d8f6","7","7","no","https://portal.abs.xyz/profile/0x708fb08773ecca4bda4c9a9eb7519b5329a1d8f6"
"Gold","1841389","0x034acbed73174080c757807f19963da3835fd7cf","0x034acbed73174080c757807f19963da3835fd7cf","7","7","no","https://portal.abs.xyz/profile/0x034acbed73174080c757807f19963da3835fd7cf"
"Gold","1841511","0x53fab64946f37caa45f91991297456a76820a1e1","0x53fab64946f37caa45f91991297456a76820a1e1","7","7","no","https://portal.abs.xyz/profile/0x53fab64946f37caa45f91991297456a76820a1e1"
"Gold","1841834","0xa5d6126286217cbddd34f98e6823e03e340f079a","0xa5d6126286217cbddd34f98e6823e03e340f079a","7","6","no","https://portal.abs.xyz/profile/0xa5d6126286217cbddd34f98e6823e03e340f079a"
"Gold","1841835","0x4d5a394689eef0ce36b8fd1a58df23847f34dee1","0x4d5a394689eef0ce36b8fd1a58df23847f34dee1","7","6","no","https://portal.abs.xyz/profile/0x4d5a394689eef0ce36b8fd1a58df23847f34dee1"
"Gold","1841836","0xc0cd27457130921e1dc540cd003aa1600321a4be","0xc0cd27457130921e1dc540cd003aa1600321a4be","7","6","no","https://portal.abs.xyz/profile/0xc0cd27457130921e1dc540cd003aa1600321a4be"
"Gold","1841838","0xda715a20013b024f0d89aaf3e08f5bbc3c7a6b91","0xda715a20013b024f0d89aaf3e08f5bbc3c7a6b91","7","6","no","https://portal.abs.xyz/profile/0xda715a20013b024f0d89aaf3e08f5bbc3c7a6b91"
"Gold","1841857","0xb14cc80ebdeb9a8f875c10de806781322f03db68","0xb14cc80ebdeb9a8f875c10de806781322f03db68","7","5","no","https://portal.abs.xyz/profile/0xb14cc80ebdeb9a8f875c10de806781322f03db68"
